"Criminality avg,","Resilience avg,",Human trafficking,Cyber-dependent crimes,State-embedded actors,Country
7.1,1.5,9.0,4.0,9.0,Afghanistan
6.93,1.54,8.5,3.5,9.5,Libya
8.15,1.63,8.5,7.5,9.0,Myanmar
6.57,1.75,9.0,1.5,8.0,Yemen
6.75,1.79,7.5,2.0,9.0,Central African Republic
6.13,1.79,8.0,2.5,7.0,Somalia
4.82,1.79,8.5,9.0,10.0,"Korea, DPR"
6.72,1.88,7.5,3.5,9.0,Venezuela
6.32,1.88,8.5,1.0,9.0,South Sudan
7.07,1.92,8.5,4.5,10.0,Syria
5.72,2.08,7.0,3.5,9.0,Nicaragua
4.87,2.17,8.5,2.0,9.0,Burundi
4.4,2.21,8.5,2.5,8.5,Turkmenistan
4.38,2.21,4.5,1.5,9.0,Equatorial Guinea
3.97,2.33,9.0,1.5,9.5,Eritrea
7.35,2.38,7.5,2.5,9.0,"Congo, Dem, Rep,"
5.93,2.38,7.5,5.0,8.0,Mali
3.92,2.38,5.0,1.5,7.0,Comoros
5.5,2.42,7.0,3.0,8.5,Chad
5.93,2.46,7.5,3.0,8.0,Haiti
5.45,2.58,7.0,2.0,9.0,Tajikistan
5.1,2.58,5.5,2.0,8.5,Guinea-Bissau
6.37,2.71,8.0,2.5,8.5,Sudan
4.77,3.04,4.0,5.0,7.5,Suriname
7.03,3.13,8.0,8.0,9.5,Iran
5.47,3.13,5.5,4.5,8.0,Zimbabwe
4.58,3.13,7.0,2.0,7.5,Guinea
4.38,3.13,7.5,1.5,6.5,Mauritania
6.27,3.17,6.5,5.0,8.0,Cameroon
7.13,3.21,7.5,2.0,8.5,Iraq
5.92,3.21,7.0,5.5,7.5,El Salvador
5.87,3.25,7.0,7.0,9.0,Belarus
5.5,3.25,6.0,4.5,6.5,Liberia
4.85,3.25,5.5,2.5,8.0,Gabon
4.78,3.25,6.5,2.5,8.0,"Congo, Rep,"
6.2,3.29,4.5,3.0,9.0,Mozambique
5.72,3.29,7.0,4.0,8.5,Papua New Guinea
4.87,3.29,5.5,3.5,5.5,Belize
4.38,3.29,4.0,5.0,6.0,eSwatini
5.58,3.33,6.0,2.0,8.0,Madagascar
7.03,3.38,8.0,5.0,9.0,Turkey
7.52,3.42,7.5,7.5,9.0,Paraguay
4.92,3.42,6.5,3.0,7.0,Sri Lanka
7.1,3.46,7.5,4.0,9.5,Lebanon
6.12,3.46,7.0,5.5,6.5,Laos
5.92,3.46,7.0,5.5,7.0,Burkina Faso
5.7,3.46,7.5,1.0,8.5,Niger
5.32,3.5,6.5,4.5,6.0,Benin
